装备名称,被动技能名称,被动技能描述,被动技能cd
名刀·司命,暗幕,"受到致命伤害不会死亡, 无敌并增加30%移速，持续1s(远程英雄0.5s)",120
影刃,暴风,"普攻伤害提升40点,暴击后增加20%攻速和5%移速, 持续3s",0
冰霜冲击,冰甲,"当自身受到除压制以外的硬控后, 获得12%最大生命值的护盾, 持续5s",15
凛冬,冰甲,"当自身受到除压制以外的硬控后, 获得12%最大生命值的护盾, 持续5s",15
极寒风暴,冰心,"受到单次伤害超过当前生命值10%时, 向敌人发射寒冰冲击, 对范围内敌人造成100~240点法术伤害, 降低范围内敌人15%攻速和30%移速,持续2s",2
日冕,残废,"技能对首个命中的英雄10%减速,持续3s",8
纯净苍穹,残废,"技能对首个命中的英雄30%减速,并使其对自己伤害降低20%持续3s",8
暗影战斧,残废,"技能对首个命中的英雄10%减速,持续3s",8
天穹,残废,"技能对首个命中的英雄30%减速,并使其对自己伤害降低20%持续3s",8
沐光斗篷,初光,"使用技能或普攻对敌方英雄造成伤害时, 为自身和附近生命值最低的友方英雄提供120~260+2%最大生命值的护盾, 持续3s",10
旭日初光,初光,"使用技能或普攻对敌方英雄造成伤害时, 为自身和附近生命值最低的友方英雄提供250~530+4%最大生命值的护盾, 持续3s",10
闪电匕首,电弧,"普攻额外造成40~82点法术伤害, 每三次普攻会释放一次连锁闪电, 造成140~420法术伤害",0
凝冰之息,冻伤,技能对于移速受损(低于人物初始移速)的目标额外造成120~400法术伤害,5
魔道之石,法力波,技能命中后额外造成200点法术伤害,5
炽热支配者,法力护盾,"血量低于30%时立刻解除自身控制, 同时获得一个吸收(500+150%法术攻击)伤害的护盾, 护盾持续期间提升30%移速, 持续4s",90
圣杯,法力源泉,"每秒恢复1.5%最大法力, 如果法力已满, 每秒恢复1%最大生命",0
秘法之靴,法术精通,提升100法术穿透,0
反伤刺甲,反刺,"2s内受到物理伤害超过2000时,发出刺击,对范围400内的敌人造成8%最大生命的法术伤害",3
